 No.,ID,Pos.(X),Pos.(Y),Pos.(Z),Data(X),Data(Y),Data(Z),Main Data,Displacement,Prn Cos(X),Prn Cos(Y),Prn Cos(Z),
2862,15681,2.55630e+01,4.11003e+00,1.00000e+00,-,-,-,9.02554e+00,3.60830e-02,-,-,-,
2861,15397,1.83269e+01,-1.34049e+00,1.00000e+00,-,-,-,9.98873e+00,5.34859e-02,-,-,-,
2860,15307,3.44471e+01,-5.00000e+00,1.00000e+00,-,-,-,7.79095e+00,2.82339e-02,-,-,-,
2859,15349,3.75388e+01,-3.69970e+00,1.00000e+00,-,-,-,1.02404e+01,2.43161e-02,-,-,-,
2858,15425,1.89977e+01,3.71346e+00,1.00000e+00,-,-,-,9.84913e+00,5.00521e-02,-,-,-,
2857,15449,2.92590e+01,3.26584e+00,1.00000e+00,-,-,-,9.09681e+00,2.91744e-02,-,-,-,
2856,15412,2.14495e+01,-3.73432e+00,1.00000e+00,-,-,-,1.54931e+01,4.91298e-02,-,-,-,
2855,15331,1.91225e+01,-5.00000e+00,1.00000e+00,-,-,-,1.68125e+01,5.29757e-02,-,-,-,
2854,15400,1.83595e+01,-3.20169e+00,1.00000e+00,-,-,-,9.67093e+00,5.31735e-02,-,-,-,
2853,15765,3.03894e+01,3.39823e+00,1.00000e+00,-,-,-,8.42060e+00,2.45735e-02,-,-,-,
2852,15359,1.50720e+01,5.00000e+00,1.00000e+00,-,-,-,1.46849e+01,5.66386e-02,-,-,-,
2851,15423,1.58445e+01,3.81723e+00,1.00000e+00,-,-,-,1.13488e+01,5.59550e-02,-,-,-,
2850,15340,3.12784e+01,3.03841e+00,1.00000e+00,-,-,-,9.73768e+00,2.23467e-02,-,-,-,
2849,15632,1.85161e+01,-4.33203e+00,1.00000e+00,-,-,-,1.23696e+01,5.32448e-02,-,-,-,
2848,15633,1.73358e+01,-4.13758e+00,1.00000e+00,-,-,-,1.19626e+01,5.38578e-02,-,-,-,
2847,15621,2.26719e+01,-3.86379e+00,1.00000e+00,-,-,-,5.46078e+00,4.66029e-02,-,-,-,
2846,15579,3.51068e+01,-4.87746e+00,1.00000e+00,-,-,-,7.92363e+00,2.76836e-02,-,-,-,
2845,15371,2.72556e+01,5.00000e+00,1.00000e+00,-,-,-,1.02251e+01,3.23261e-02,-,-,-,
2844,15729,2.71887e+01,4.71200e+00,1.00000e+00,-,-,-,9.22633e+00,3.25916e-02,-,-,-,
2843,15720,2.68068e+01,1.46693e+00,1.00000e+00,-,-,-,9.65727e+00,3.48968e-02,-,-,-,
2842,15616,3.65296e+01,-4.15448e+00,1.00000e+00,-,-,-,6.75813e+00,2.57193e-02,-,-,-,
2841,15436,3.54198e+01,-4.27448e+00,1.00000e+00,-,-,-,1.10107e+01,2.62380e-02,-,-,-,
2840,15424,1.71405e+01,3.71065e+00,1.00000e+00,-,-,-,9.51641e+00,5.37045e-02,-,-,-,
2839,15454,2.98169e+01,3.03711e+00,1.00000e+00,-,-,-,9.68547e+00,2.65393e-02,-,-,-,
2838,15427,2.36091e+01,3.57426e+00,1.00000e+00,-,-,-,9.77832e+00,4.04325e-02,-,-,-,
2837,15303,3.63991e+01,-5.00000e+00,1.00000e+00,-,-,-,1.14622e+01,2.79103e-02,-,-,-,
2836,15593,3.13960e+01,2.71046e+00,1.00000e+00,-,-,-,9.36763e+00,2.23068e-02,-,-,-,
2835,15396,1.69864e+01,-6.67592e-02,1.00000e+00,-,-,-,9.79564e+00,5.50834e-02,-,-,-,
2834,15363,1.77185e+01,5.00000e+00,1.00000e+00,-,-,-,1.22323e+01,5.19062e-02,-,-,-,
2833,15304,3.61661e+01,-5.00000e+00,1.00000e+00,-,-,-,1.09837e+01,2.78738e-02,-,-,-,
2832,15575,3.62055e+01,-4.69103e+00,1.00000e+00,-,-,-,7.94407e+00,2.71014e-02,-,-,-,
2831,15696,2.01177e+01,-2.41375e+00,1.00000e+00,-,-,-,8.10194e+00,5.15265e-02,-,-,-,
2830,15638,1.48674e+01,3.10561e+00,1.00000e+00,-,-,-,7.89661e+00,5.75432e-02,-,-,-,
2829,15661,1.91237e+01,-3.81167e+00,1.00000e+00,-,-,-,8.90740e+00,5.27372e-02,-,-,-,
2828,15755,2.76454e+01,2.83552e+00,1.00000e+00,-,-,-,6.99589e+00,3.27098e-02,-,-,-,
2827,15749,2.75341e+01,2.23494e+00,1.00000e+00,-,-,-,8.12125e+00,3.31899e-02,-,-,-,
2826,15429,2.70303e+01,3.37650e+00,1.00000e+00,-,-,-,9.48010e+00,3.35196e-02,-,-,-,
2825,15511,2.74735e+01,2.90460e+00,1.00000e+00,-,-,-,5.24817e+00,3.29623e-02,-,-,-,
2824,15410,2.21265e+01,-2.75816e+00,1.00000e+00,-,-,-,9.20674e+00,4.67962e-02,-,-,-,
2823,15318,2.32951e+01,-5.00000e+00,1.00000e+00,-,-,-,9.34501e+00,4.64865e-02,-,-,-,
2822,15450,2.93899e+01,3.80591e+00,1.00000e+00,-,-,-,1.26585e+01,2.84431e-02,-,-,-,
2821,15769,2.38024e+01,-2.85460e+00,1.00000e+00,-,-,-,4.14329e+00,4.34132e-02,-,-,-,
2820,15564,1.51172e+01,4.72159e+00,1.00000e+00,-,-,-,1.32449e+01,5.67069e-02,-,-,-,
2819,15548,3.19819e+01,2.05398e+00,1.00000e+00,-,-,-,9.27574e+00,2.14409e-02,-,-,-,
2818,15370,2.69374e+01,5.00000e+00,1.00000e+00,-,-,-,8.90717e+00,3.29365e-02,-,-,-,
2817,15358,1.49121e+01,5.00000e+00,1.00000e+00,-,-,-,1.45679e+01,5.68829e-02,-,-,-,
2816,15660,1.85906e+01,-3.94350e+00,1.00000e+00,-,-,-,1.04109e+01,5.31352e-02,-,-,-,
2815,15379,2.94174e+01,5.00000e+00,1.00000e+00,-,-,-,6.38300e+00,2.66655e-02,-,-,-,
2814,15465,1.51310e+01,3.44069e+00,1.00000e+00,-,-,-,4.00934e+00,5.71980e-02,-,-,-,
2813,15637,1.49232e+01,3.78017e+00,1.00000e+00,-,-,-,5.20126e+00,5.73883e-02,-,-,-,
2812,15426,2.13276e+01,3.60819e+00,1.00000e+00,-,-,-,9.70706e+00,4.52471e-02,-,-,-,
2811,15723,1.99147e+01,-2.49326e+00,1.00000e+00,-,-,-,7.61603e+00,5.17817e-02,-,-,-,
2810,15578,3.58738e+01,-4.88931e+00,1.00000e+00,-,-,-,9.13329e+00,2.75928e-02,-,-,-,
2809,15528,1.97255e+01,-2.41997e+00,1.00000e+00,-,-,-,7.39351e+00,5.19846e-02,-,-,-,
2808,15399,1.91394e+01,-3.07847e+00,1.00000e+00,-,-,-,5.63542e+00,5.25666e-02,-,-,-,
2807,15751,1.52421e+01,2.61686e+00,1.00000e+00,-,-,-,8.73056e+00,5.71233e-02,-,-,-,
2806,15485,3.58272e+01,-4.37568e+00,1.00000e+00,-,-,-,7.38626e+00,2.63935e-02,-,-,-,
2805,15409,2.24491e+01,-2.34642e+00,1.00000e+00,-,-,-,9.27013e+00,4.57622e-02,-,-,-,
2804,15718,2.86089e+01,4.02173e+00,1.00000e+00,-,-,-,5.32948e+00,3.00111e-02,-,-,-,
2803,15464,2.04339e+01,-2.24257e+00,1.00000e+00,-,-,-,8.94024e+00,5.11040e-02,-,-,-,
2802,15522,1.65057e+01,7.19212e-01,1.00000e+00,-,-,-,9.66189e+00,5.56494e-02,-,-,-,
2801,15667,2.65843e+01,4.21824e+00,1.00000e+00,-,-,-,7.99633e+00,3.39906e-02,-,-,-,
2800,15395,1.58096e+01,1.05234e+00,1.00000e+00,-,-,-,9.53319e+00,5.64927e-02,-,-,-,
2799,15317,2.34346e+01,-5.00000e+00,1.00000e+00,-,-,-,9.58578e+00,4.62241e-02,-,-,-,
2798,15672,2.01457e+01,-3.80544e+00,1.00000e+00,-,-,-,6.45796e+00,5.17836e-02,-,-,-,
2797,15393,1.40262e+01,2.69477e+00,1.00000e+00,-,-,-,9.30987e+00,5.86074e-02,-,-,-,
2796,15656,3.09493e+01,2.74717e+00,1.00000e+00,-,-,-,9.25857e+00,2.35128e-02,-,-,-,
2795,15467,2.77188e+01,1.58882e+00,1.00000e+00,-,-,-,8.74056e+00,3.32221e-02,-,-,-,
2794,15401,1.67380e+01,-3.22775e+00,1.00000e+00,-,-,-,9.74706e+00,5.40868e-02,-,-,-,
2793,15313,2.46568e+01,-5.00000e+00,1.00000e+00,-,-,-,1.11132e+01,4.36740e-02,-,-,-,
2792,15572,2.47773e+01,4.67326e+00,1.00000e+00,-,-,-,8.78169e+00,3.73824e-02,-,-,-,
